,foodname,serving_portion,kcal_portion
0,Food,Serving,Calories
1,Applesauce,1 cup (114 g),62 cal
2,Canned Apricots,1 cup (246 g),48 cal
3,Canned Blackberries,1 cup (256 g),92 cal
4,Canned Blueberries,1 cup (256 g),88 cal
5,Canned Cherries,1 cup (250 g),54 cal
6,Canned Cranberries,1 cup (275 g),178 cal
7,Canned Crushed Pineapple,1 cup (225 g),53 cal
8,Canned Figs,1 cup (261 g),107 cal
9,Canned Fruit Cocktail,1 cup (246 g),81 cal
10,Canned Fruit Salad,1 cup (259 g),50 cal
11,Canned Gooseberries,1 cup (252 g),73 cal
12,Canned Grapefruit,1 cup (249 g),37 cal
13,Canned Grapes,1 cup (256 g),76 cal
14,Canned Mandarin Oranges,1 container (113 g),71 cal
15,Canned Mango,1 cup (165 g),65 cal
16,Canned Mangosteen,1 cup (216 g),73 cal
17,Canned Mixed Fruit,1 can (113 g),71 cal
18,Canned Morello Cherries,1 cup (270 g),81 cal
19,Canned Oranges,1 can (113 g),62 cal
20,Canned Peaches,1/2 peach (98 g),54 cal
21,Canned Pears,1 cup (284 g),35 cal
22,Canned Pineapple,1 cup (232 g),60 cal
23,Canned Plums,1 plum (46 g),58 cal
24,Canned Raspberries,1 cup (256 g),91 cal
25,Canned Sliced Pineapple,1 cup (225 g),53 cal
26,Canned Sour Cherries,1 cup (261 g),114 cal
27,Canned Strawberries,1 cup (254 g),92 cal
28,Canned Tangerines,1 cup (252 g),61 cal
29,Dried Fruit,2 oz. (56 g),243 cal
